类别,中文名,entry,actors,点数
植物,速速紫罗兰,Item_PlantGet_O,Item_PlantGet_O+Item_Plant_O,1031
植物,海拉鲁草,Item_PlantGet_A,Item_Plant_A,723
植物,向阳草,Item_PlantGet_R,Item_PlantGet_R+Item_Plant_R,338
植物,精力草,Item_PlantGet_S,Item_Plant_S,314
植物,冰冷香草,Item_PlantGet_E,Item_Plant_E,310
植物,潜行草,Item_PlantGet_I,Item_Plant_I,242
植物,铠甲草,Item_PlantGet_H,Item_Plant_H,234
植物,大剑草,Item_PlantGet_G,Item_Plant_G,137
植物,暖暖香草,Item_PlantGet_F,Item_Plant_F,120
植物,宁静公主,Item_PlantGet_J,Item_PlantGet_J+Item_Plant_J,119
植物,酥麻香草,Item_PlantGet_L,Item_PlantGet_L+Item_Plant_L,85
植物,速速胡萝卜,Item_PlantGet_M,Item_PlantGet_M+Item_Plant_M,27
植物,毅力胡萝卜,Item_PlantGet_Q,Item_Plant_Q,23
植物,生命小萝卜,Item_PlantGet_B,Item_Plant_B,19
植物,克洛格的叶子,Item_PlantGet_U,Item_PlantGet_U,17
植物,生命大萝卜,Item_PlantGet_C,Item_Plant_C,8
蘑菇,速速蘑菇,Item_MushroomGet_D,Item_MushroomGet_D+Item_Mushroom_D,1151
蘑菇,海拉鲁蘑菇,Item_MushroomGet_E,Item_Mushroom_E,694
蘑菇,潜行蘑菇,Item_MushroomGet_J,Item_Mushroom_J,669
蘑菇,精力蘑菇,Item_MushroomGet_A,Item_Mushroom_A,538
蘑菇,冰冷蘑菇,Item_MushroomGet_B,Item_Mushroom_B,421
蘑菇,暖暖蘑菇,Item_MushroomGet_C,Item_Mushroom_C,380
蘑菇,天空蘑菇,Item_MushroomGet_P,Item_Mushroom_P,371
蘑菇,铠甲蘑菇,Item_MushroomGet_M,Item_Mushroom_M,278
蘑菇,大剑蘑菇,Item_MushroomGet_L,Item_Mushroom_L,235
蘑菇,酥麻蘑菇,Item_MushroomGet_H,Item_Mushroom_H,119
蘑菇,毅力蘑菇,Item_MushroomGet_O,Item_Mushroom_O,15
蘑菇,光亮蘑菇,Item_MushroomGet_K,Item_MushroomGet_K+Item_Mushroom_K,13
蘑菇,生命松露,Item_MushroomGet_F,Item_Mushroom_F,5
水果,炸弹花,BombFruit,BombFruit,6444
水果,混乱花,ConfusionFruit,ConfusionFruit_Static,6206
水果,苹果,Item_Fruit_A,Item_Fruit_A,1292
水果,暖暖草果,Item_Fruit_I,Item_Fruit_I,957
水果,火焰果,FireFruit,FireFruit,910
水果,草莓,Item_Fruit_B,Item_Fruit_B,776
水果,电流果,ElectricalFruit,ElectricalFruit,711
水果,水之果,WaterFruit,WaterFruit,704
水果,闪耀果,LightFruit,LightFruit,703
水果,冷气果,IceFruit,IceFruit,499
水果,酥麻水果,Item_Fruit_C,Item_Fruit_C,488
水果,椰子,Item_Fruit_G,Item_Fruit_G,415
水果,冰冷蜜瓜,Item_Fruit_F,Item_Fruit_F,414
水果,海拉鲁番茄,Item_Fruit_M,Item_Fruit_M,376
水果,大剑香蕉,Item_Fruit_H,Item_Fruit_H,267
水果,速速莲蓬,Item_Fruit_E,Item_Fruit_E,151
水果,金苹果,Item_Fruit_P,Item_Fruit_P,97
水果,橡子,Item_Fruit_K,Item_Fruit_K,74
水果,小鸟的树果,Item_Fruit_L,Item_Fruit_L,67
水果,铠甲南瓜,Item_Fruit_J,Item_Fruit_J,7
水果,向阳南瓜,Item_Fruit_N,Item_Fruit_N,2
昆虫,暗萤火虫,Animal_Insect_AI,Animal_Insect_AI,388
昆虫,静静萤火虫,Animal_Insect_E,Animal_Insect_E+Animal_Insect_EP,385
昆虫,速速青蛙,Animal_Insect_A,Animal_Insect_A,166
昆虫,精力蚱蜢,Animal_Insect_H,Animal_Insect_H,150
昆虫,速速蜥蜴,Animal_Insect_S,Animal_Insect_S,119
昆虫,耐火蜥蜴,Animal_Insect_X,Animal_Insect_X,79
昆虫,妖精,Animal_Insect_F,Animal_Insect_F,69
昆虫,暖暖蜻蜓,Animal_Insect_T,Animal_Insect_T,62
昆虫,冰冷凤蝶,Animal_Insect_N,Animal_Insect_N,60
昆虫,冰冷蜻蜓,Animal_Insect_C,Animal_Insect_C,58
昆虫,昆虫群（随机）,Animal_Insect_Z,Animal_Insect_Z,52
昆虫,暖暖凤蝶,Animal_Insect_Q,Animal_Insect_Q,34
昆虫,大剑独角仙,Animal_Insect_G,Animal_Insect_G,31
昆虫,酥麻凤蝶,Animal_Insect_R,Animal_Insect_R,29
昆虫,贴贴青蛙,Animal_Insect_AG,Animal_Insect_AG,24
昆虫,昆虫群（随机）,Animal_Insect_K,Animal_Insect_K,24
