中文名,objmap_id,objmap_英文,objmap_中文,objmap_X,objmap_Z,objmap_Y,ShowLevel,我们x(lat),我们y(lng),偏差,层,visible
中央海拉鲁,,,,,,,,116.21,-256.2,,18,"3,4"
哈特尔地区,,,,,,,,1685.26,2500.5,,18,"3,4"
奥尔汀地区,,,,,,,,-2232.06,1934.86,,18,"3,4"
拉聂尔地区,,,,,,,,615.16,3174.93,,18,"3,4"
格鲁德地区,,,,,,,,3257.34,-3989.01,,18,"3,4"
海布拉地区,,,,,,,,-2704.61,-3357.82,,18,"3,4"
费罗尼地区,,,,,,,,2825.32,969.33,,18,"3,4"
阿卡莱地区,,,,,,,,-3039.23,3556.77,,18,"3,4"
卡拉卡拉集市,Oasis,Kara Kara Bazaar,卡拉卡拉集市,-3237.0,2556.0,0.0,"Nearest,Near,Farthest",2569.85,-3239.28,14.0,18,"3,4,5,6,7"
三殿,HyruleCastle_Hall_2,First Gatehouse,三殿,-356.2330017089844,-829.18115234375,215.1009979248047,Near,-830.63,-351.33,5.1,18,"5,6,7"
东坑道,HyruleCastle_Room_10,East Passage,东坑道,-120.3857421875,-974.54638671875,132.47244262695312,Nearest,-976.32,-82.28,38.1,18,"5,6,7"
东格鲁德遗迹,EastGerudoRuins,East Gerudo Ruins,东格鲁德遗迹,-2696.017333984375,2843.4111328125,203.97874450683594,Near,2813.2,-2691.1,30.6,18,"5,6,7"
中央广场遗迹,HyruleCentralPlace,Central Square,中央广场遗迹,-254.25181579589844,-416.7413330078125,130.77346801757812,Nearest,-425.96,-253.99,9.2,18,"5,6,7"
主殿,,,,,,,,-1076.94,-254.0,,18,"5,6,7"
乌克池塘,,,,,,,,-2544.07,-3927.75,,18,"5,6,7"
乌尔拉峡谷,,,,,,,,-807.66,4186.46,,18,5
亚阔湖,,,,,,,,1095.34,-1304.13,,18,"5,6,7"
交易所遗迹,CentralExchange,Exchange Ruins,交易所遗迹,-750.0175170898438,859.66015625,296.3421936035156,Nearest,865.0,-737.5,13.6,18,"5,6,7"
